study_id,pass_1_primary_tier,pass_2_primary_tier,consensus_primary_tier,match_primary_tier,pass_1_T1,pass_2_T1,consensus_T1,match_T1,pass_1_T2,pass_2_T2,consensus_T2,match_T2,pass_1_T3,pass_2_T3,consensus_T3,match_T3,pass_1_T4,pass_2_T4,consensus_T4,match_T4,disagreement_count,all_five_match
S095,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0
S096,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S097,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S098,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0
S099,ANCHORED,CORE,CORE,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
S100,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S101,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1
S102,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,2,0
S103,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0
S104,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0
S105,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,2,0
S106,INTERFACE,INTERFACE,INTERFACE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S107,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
S108,ANCHORED,ANCHORED,ANCHORED,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0
S109,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S110,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1
S111,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,2,0
S112,CORE,CORE,CORE,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
S113,CONSTRUCTION,CONSTRUCTION,CONSTRUCTION,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1
